Category;product;Date;Price per unit;Count;promocode
Масло;Масло подсолнечное;09.01.2022;157.0;14.0;Ма09он10
Напитки;Напитки для здоровья;28.06.2022;94.0;8.0;На28ьв60
Пищевые злаки;Мука;03.02.2022;295.0;25.0;Му03ку20
Фрукты и овощи;Свежие овощи;21.04.2022;112.0;10.0;Св21що40
Пищевые злаки;Органические основные продукты;22.03.2022;295.0;25.0;Ор22тк30
Пищевые злаки;Органические основные продукты;29.04.2022;289.0;25.0;Ор29тк40
Фрукты и овощи;Свежие овощи;16.06.2022;104.0;9.0;Св16що60
Фрукты и овощи;Свежие фрукты;26.05.2022;231.0;20.0;Св26тк50
Хлебобулочные изделия;Печенье;04.05.2022;99.0;9.0;Пе04ьн50
Выпечка;Торты;11.01.2022;225.0;19.0;То11тр10
Закуски;Шоколадные конфеты;27.05.2022;238.0;20.0;Шо27те50
Яйца, мясо и рыба;Яйца;18.04.2022;88.0;8.0;Яй18цй40
Закуски;Печенье;15.06.2022;208.0;18.0;Пе15ьн60
Фрукты и овощи;Свежие овощи;29.01.2022;160.0;14.0;Св29що10
Яйца, мясо и рыба;Курица;27.04.2022;104.0;9.0;Ку27ци40
Масло;Топленое масло;22.03.2022;180.0;15.0;То22лс30
Выпечка;Торты;17.04.2022;210.0;18.0;То17тр40
Напитки;Напитки для здоровья;04.05.2022;203.0;17.0;На04ьв50
Яйца, мясо и рыба;Баранина;05.01.2022;220.0;19.0;Ба05ни10
Напитки;Безалкогольные напитки;24.01.2022;87.0;8.0;Бе24кт10
Напитки;Напитки для здоровья;27.05.2022;66.0;6.0;На27ьв50
Пищевые злаки;Крупы и бобовые;17.05.2022;119.0;10.0;Кр17ыв50
Напитки;Безалкогольные напитки;16.02.2022;89.0;8.0;Бе16кт20
Фрукты и овощи;Органические овощи;26.01.2022;122.0;11.0;Ор26що10
Яйца, мясо и рыба;Яйца;11.03.2022;138.0;12.0;Яй11цй30
Закуски;Шоколадные конфеты;10.06.2022;253.0;22.0;Шо10те60
Закуски;Печенье;30.03.2022;68.0;6.0;Пе30ьн30
Хлебобулочные изделия;Печенье;19.01.2022;123.0;11.0;Пе19ьн10
Напитки;Прохладительные напитки;13.03.2022;249.0;21.0;Пр13кт30
Масло;Подсолнечное масло;24.01.2022;124.0;11.0;По24лс10
Напитки;Безалкогольные напитки;15.01.2022;231.0;20.0;Бе15кт10
Закуски;Лапша;09.05.2022;175.0;15.0;Ла09шп50
Масло;Топленое масло;16.04.2022;271.0;23.0;То16лс40
Масло;Подсолнечное масло;27.03.2022;212.0;18.0;По27лс30
